Company,Job Title,Industry,Location,Employment Type,Experience Level,Remote Flexibility,Salary (Annual),Currency,Years of Experience,Job Satisfaction Score (1-10),Tech Stack,Perks,Last Promotion (Years Ago)
Microsoft,Data Analyst,Media,Austin,Part-time,Mid,Remote,155200.11,AUD,1.3,7,"Python, SQL",Stock Options,0.47
Apple,Data Scientist,Retail,San Francisco,Part-time,Lead,Remote,106365.54,INR,12.1,1,"JavaScript, React",Gym Membership,1.7
Amazon,Software Engineer,Healthcare,San Francisco,Full-time,Lead,Remote,91026.49,INR,9.1,1,"C#, .NET",Gym Membership,2.68
Tesla,Data Analyst,Retail,Austin,Contract,Mid,Onsite,41824.38,EUR,11.6,2,"JavaScript, React",Stock Options,1.9
Adobe,DevOps Engineer,Healthcare,New York,Contract,Senior,Remote,143929.78,USD,9.1,3,"Go, Kubernetes",Health Insurance,0.82
Tesla,Product Manager,Media,Chicago,Part-time,Senior,Remote,68938.17,USD,12.1,7,"Java, Spring",Stock Options,1.05
IBM,DevOps Engineer,Healthcare,New York,Internship,Lead,Onsite,108004.81,INR,2.1,9,"Go, Kubernetes",Flexible Hours,3.74
Tesla,Data Scientist,Education,Austin,Part-time,Mid,Onsite,113897.69,USD,12.9,3,"C#, .NET",Health Insurance,3.96
Tesla,Data Scientist,Tech,Seattle,Internship,Lead,Onsite,72740.4,AUD,12.9,1,"C#, .NET",Stock Options,3.41
Salesforce,Product Manager,Media,Austin,Full-time,Senior,Hybrid,56886.82,USD,14.3,5,"Go, Kubernetes",Health Insurance,2.54
Microsoft,DevOps Engineer,Healthcare,Boston,Part-time,Mid,Hybrid,159626.84,AUD,14.3,9,"Python, SQL",Remote Stipend,1.62
Google,Data Analyst,Healthcare,Boston,Contract,Mid,Remote,70948.17,AUD,14.2,2,"C#, .NET",Gym Membership,4.08
Salesforce,Software Engineer,Finance,Chicago,Internship,Mid,Hybrid,119704.54,AUD,6.3,4,"Go, Kubernetes",Health Insurance,3.56
Tesla,DevOps Engineer,Media,Austin,Internship,Lead,Remote,72143.95,USD,5.1,10,"Go, Kubernetes",Health Insurance,2.94
Google,Data Analyst,Media,Chicago,Full-time,Mid,Remote,183921.4,INR,1.1,4,"Java, Spring",Gym Membership,1.07
Amazon,DevOps Engineer,Retail,Remote,Internship,Mid,Hybrid,167274.49,EUR,1.4,7,"Java, Spring",Gym Membership,2.06
Google,DevOps Engineer,Media,Chicago,Full-time,Entry,Hybrid,153796.31,USD,3.7,4,"Go, Kubernetes",Gym Membership,0.7
Amazon,Product Manager,Education,New York,Full-time,Lead,Onsite,46644.48,AUD,12.5,2,"JavaScript, React",Health Insurance,2.03
Adobe,Software Engineer,Education,San Francisco,Part-time,Lead,Remote,197502.5,INR,13.9,8,"Java, Spring",Gym Membership,3.48
Salesforce,DevOps Engineer,Media,Seattle,Part-time,Mid,Hybrid,67009.15,USD,8.7,9,"Python, SQL",Flexible Hours,0.29
IBM,UX Designer,Retail,Boston,Part-time,Entry,Onsite,43618.95,EUR,1.0,2,"C#, .NET",Health Insurance,2.02
IBM,Software Engineer,Retail,Remote,Full-time,Entry,Hybrid,141753.44,AUD,7.8,5,"JavaScript, React",Flexible Hours,1.19
Tesla,Software Engineer,Media,Chicago,Contract,Lead,Hybrid,187933.12,USD,0.1,10,"Go, Kubernetes",Stock Options,0.37
Apple,Data Scientist,Healthcare,New York,Contract,Entry,Remote,92819.61,EUR,6.6,9,"C#, .NET",Flexible Hours,3.06
Salesforce,Data Analyst,Media,Boston,Contract,Entry,Remote,74959.21,USD,11.1,3,"Java, Spring",Flexible Hours,3.02
Netflix,Software Engineer,Media,Chicago,Contract,Lead,Hybrid,183907.2,USD,1.4,7,"Java, Spring",Stock Options,0.02
Amazon,DevOps Engineer,Healthcare,New York,Internship,Lead,Onsite,31643.85,USD,14.2,3,"Go, Kubernetes",Stock Options,4.17
IBM,Data Scientist,Finance,Seattle,Part-time,Entry,Hybrid,91990.76,USD,13.5,4,"C#, .NET",Health Insurance,3.33
Netflix,Data Scientist,Education,Remote,Part-time,Mid,Remote,195955.03,EUR,13.2,1,"JavaScript, React",Flexible Hours,3.91
Tesla,DevOps Engineer,Media,Boston,Part-time,Senior,Remote,163853.67,USD,5.7,1,"R, Tableau",Health Insurance,1.0
Adobe,Product Manager,Healthcare,Boston,Part-time,Mid,Remote,142205.64,GBP,4.9,2,"Java, Spring",Flexible Hours,3.21
Tesla,DevOps Engineer,Retail,Austin,Full-time,Entry,Hybrid,60356.53,INR,0.6,10,"R, Tableau",Flexible Hours,3.64
Netflix,UX Designer,Retail,Remote,Full-time,Lead,Onsite,62313.39,USD,10.6,1,"Go, Kubernetes",Remote Stipend,3.43
Apple,Product Manager,Education,San Francisco,Contract,Senior,Onsite,174162.6,INR,7.6,7,"Java, Spring",Gym Membership,3.49
Salesforce,Software Engineer,Finance,Seattle,Internship,Mid,Onsite,126747.89,GBP,8.2,1,"Java, Spring",Flexible Hours,1.05
IBM,Data Scientist,Media,Austin,Internship,Lead,Hybrid,144856.63,AUD,7.1,3,"C#, .NET",Stock Options,1.42
IBM,Product Manager,Tech,Boston,Part-time,Senior,Remote,167115.69,EUR,0.4,4,"R, Tableau",Remote Stipend,4.25
Microsoft,UX Designer,Education,Chicago,Part-time,Lead,Hybrid,97940.99,EUR,9.8,1,"Python, SQL",Gym Membership,1.09
Salesforce,UX Designer,Tech,Remote,Part-time,Entry,Hybrid,52667.65,GBP,10.0,9,"Go, Kubernetes",Flexible Hours,4.75
Adobe,Data Scientist,Media,Remote,Internship,Lead,Remote,156421.43,GBP,6.8,4,"C#, .NET",Flexible Hours,3.83
Salesforce,UX Designer,Media,New York,Contract,Lead,Remote,151302.63,EUR,4.1,6,"Go, Kubernetes",Stock Options,0.69
Apple,UX Designer,Media,New York,Part-time,Entry,Hybrid,99291.89,AUD,7.0,1,"JavaScript, React",Gym Membership,1.95
IBM,DevOps Engineer,Tech,Boston,Internship,Lead,Remote,190266.08,INR,11.3,7,"Go, Kubernetes",Remote Stipend,4.0
Apple,UX Designer,Finance,Austin,Internship,Lead,Remote,96105.72,GBP,10.9,8,"JavaScript, React",Remote Stipend,2.67
Tesla,Data Scientist,Retail,Chicago,Full-time,Entry,Onsite,102864.17,GBP,2.7,5,"R, Tableau",Flexible Hours,1.06
Netflix,Product Manager,Education,Austin,Internship,Senior,Remote,109952.16,AUD,0.8,6,"JavaScript, React",Stock Options,3.91
Google,Data Analyst,Finance,New York,Full-time,Mid,Remote,51457.57,USD,8.5,4,"R, Tableau",Flexible Hours,3.83
Amazon,Data Scientist,Retail,Chicago,Full-time,Mid,Hybrid,48376.79,USD,13.9,10,"C#, .NET",Gym Membership,1.98
Apple,Data Analyst,Retail,Chicago,Part-time,Entry,Onsite,161321.75,AUD,12.1,10,"Python, SQL",Flexible Hours,2.66
Netflix,Data Analyst,Retail,Chicago,Contract,Entry,Hybrid,169796.26,USD,6.5,6,"C#, .NET",Gym Membership,3.54
Tesla,Software Engineer,Media,Remote,Contract,Lead,Hybrid,104047.66,AUD,4.0,4,"Python, SQL",Flexible Hours,4.41
Apple,UX Designer,Retail,Remote,Internship,Senior,Remote,114032.11,INR,2.7,4,"Java, Spring",Flexible Hours,1.7
IBM,DevOps Engineer,Healthcare,Remote,Full-time,Mid,Remote,71030.53,GBP,7.3,4,"C#, .NET",Gym Membership,3.23
Adobe,UX Designer,Tech,San Francisco,Contract,Mid,Hybrid,147603.82,INR,10.0,6,"R, Tableau",Remote Stipend,2.65
Tesla,DevOps Engineer,Retail,Austin,Contract,Lead,Hybrid,82125.91,EUR,1.8,4,"Java, Spring",Stock Options,3.71
Amazon,Software Engineer,Finance,Chicago,Internship,Senior,Onsite,130229.77,AUD,9.0,2,"JavaScript, React",Flexible Hours,1.14
Amazon,Product Manager,Tech,Chicago,Part-time,Senior,Remote,195630.14,AUD,4.4,3,"C#, .NET",Gym Membership,0.51
Google,Data Scientist,Healthcare,Seattle,Internship,Lead,Hybrid,61341.82,USD,3.8,8,"Python, SQL",Stock Options,2.0
Microsoft,Data Scientist,Media,Chicago,Full-time,Mid,Remote,167894.15,INR,1.3,4,"Python, SQL",Remote Stipend,3.82
IBM,Data Scientist,Retail,New York,Internship,Lead,Hybrid,80550.03,AUD,14.9,5,"Go, Kubernetes",Remote Stipend,0.3
Microsoft,Software Engineer,Media,New York,Contract,Entry,Remote,70777.08,AUD,1.1,1,"R, Tableau",Gym Membership,3.45
Adobe,Product Manager,Tech,New York,Contract,Senior,Onsite,176133.14,USD,10.3,5,"C#, .NET",Remote Stipend,3.31
Apple,UX Designer,Tech,Remote,Part-time,Mid,Hybrid,170527.3,USD,0.9,5,"Go, Kubernetes",Remote Stipend,4.61
Adobe,Data Analyst,Education,Chicago,Contract,Lead,Hybrid,115080.27,GBP,6.6,10,"Python, SQL",Gym Membership,3.67
IBM,Product Manager,Tech,San Francisco,Part-time,Entry,Onsite,169641.61,AUD,0.6,3,"R, Tableau",Remote Stipend,3.26
Meta,Software Engineer,Retail,Seattle,Internship,Entry,Hybrid,89153.38,INR,4.8,2,"JavaScript, React",Flexible Hours,2.06
Adobe,Product Manager,Media,Seattle,Full-time,Lead,Remote,83467.92,INR,1.7,7,"Go, Kubernetes",Stock Options,3.29
Salesforce,UX Designer,Education,San Francisco,Part-time,Senior,Onsite,158595.34,GBP,11.4,4,"Java, Spring",Remote Stipend,0.66
Meta,UX Designer,Media,Seattle,Full-time,Entry,Onsite,133508.18,EUR,10.6,5,"Go, Kubernetes",Stock Options,2.76
Microsoft,Software Engineer,Tech,Seattle,Full-time,Mid,Hybrid,188551.02,INR,7.6,5,"R, Tableau",Gym Membership,4.9
Apple,UX Designer,Retail,New York,Internship,Mid,Onsite,116400.95,EUR,13.0,5,"R, Tableau",Flexible Hours,4.67
Salesforce,Product Manager,Tech,Austin,Contract,Lead,Remote,105913.06,GBP,5.2,9,"Go, Kubernetes",Gym Membership,2.28
Netflix,Software Engineer,Media,New York,Internship,Mid,Hybrid,37420.04,GBP,10.6,7,"R, Tableau",Health Insurance,2.48
Google,Software Engineer,Retail,Remote,Contract,Entry,Hybrid,46950.99,GBP,0.2,3,"R, Tableau",Health Insurance,0.37
Meta,Product Manager,Retail,Chicago,Internship,Entry,Hybrid,174898.03,AUD,5.7,6,"C#, .NET",Gym Membership,4.36
Google,Data Scientist,Tech,New York,Contract,Mid,Onsite,45364.49,USD,11.4,2,"R, Tableau",Health Insurance,3.47
Google,Data Analyst,Healthcare,Boston,Full-time,Senior,Hybrid,93722.99,EUR,3.7,7,"Go, Kubernetes",Health Insurance,0.85
Microsoft,Data Scientist,Education,Remote,Part-time,Lead,Onsite,54330.01,GBP,9.6,8,"Java, Spring",Stock Options,4.49
Adobe,Product Manager,Media,Remote,Part-time,Entry,Hybrid,190690.06,AUD,4.5,7,"C#, .NET",Flexible Hours,2.28
Meta,Software Engineer,Education,Boston,Internship,Entry,Remote,94831.93,INR,8.6,5,"Python, SQL",Gym Membership,1.37
IBM,DevOps Engineer,Media,San Francisco,Internship,Senior,Remote,133201.05,INR,3.3,4,"Go, Kubernetes",Flexible Hours,3.39
Amazon,DevOps Engineer,Tech,Chicago,Full-time,Senior,Hybrid,35671.97,INR,11.0,2,"Java, Spring",Flexible Hours,3.74
Amazon,Software Engineer,Finance,Boston,Contract,Senior,Remote,73684.91,GBP,14.5,5,"C#, .NET",Flexible Hours,4.02
Adobe,Data Analyst,Finance,Boston,Part-time,Lead,Onsite,92181.76,GBP,0.2,9,"Python, SQL",Gym Membership,1.84
Meta,Data Scientist,Education,Boston,Contract,Entry,Onsite,69749.72,USD,9.3,9,"Java, Spring",Remote Stipend,1.11
Microsoft,DevOps Engineer,Education,Chicago,Contract,Lead,Remote,53762.09,USD,4.6,8,"Python, SQL",Stock Options,1.17
Salesforce,Software Engineer,Education,Seattle,Contract,Lead,Onsite,156185.73,EUR,13.3,2,"R, Tableau",Remote Stipend,2.04
Meta,Data Analyst,Media,Austin,Part-time,Lead,Hybrid,191594.38,INR,1.5,6,"Go, Kubernetes",Flexible Hours,0.3
Meta,Software Engineer,Tech,Boston,Internship,Entry,Onsite,66057.99,AUD,14.6,1,"Java, Spring",Health Insurance,4.94
IBM,Software Engineer,Tech,Boston,Part-time,Mid,Remote,85855.12,EUR,11.8,10,"Python, SQL",Flexible Hours,4.29
Amazon,Software Engineer,Retail,Austin,Part-time,Entry,Onsite,177296.14,EUR,0.2,4,"Go, Kubernetes",Flexible Hours,0.08
Meta,Data Analyst,Finance,Chicago,Internship,Entry,Onsite,40804.87,GBP,11.7,9,"Go, Kubernetes",Stock Options,2.26
Apple,Data Scientist,Tech,Chicago,Contract,Lead,Onsite,193884.45,USD,15.0,7,"R, Tableau",Stock Options,2.45
Adobe,Data Analyst,Tech,Austin,Part-time,Entry,Remote,76752.72,AUD,8.2,6,"R, Tableau",Remote Stipend,2.65
Adobe,Data Scientist,Retail,Seattle,Full-time,Entry,Onsite,140655.83,AUD,10.8,4,"R, Tableau",Gym Membership,4.44
Tesla,Product Manager,Education,Seattle,Internship,Entry,Hybrid,102549.88,INR,5.6,3,"C#, .NET",Gym Membership,0.34
Microsoft,Data Analyst,Education,San Francisco,Contract,Mid,Onsite,40196.77,AUD,8.4,2,"R, Tableau",Flexible Hours,4.37
Tesla,DevOps Engineer,Tech,Austin,Contract,Senior,Remote,128246.15,EUR,2.3,8,"JavaScript, React",Stock Options,1.75
Salesforce,Product Manager,Tech,Boston,Contract,Mid,Hybrid,173676.38,AUD,9.2,9,"Python, SQL",Remote Stipend,4.65
Meta,Data Analyst,Finance,Austin,Contract,Senior,Hybrid,31037.98,EUR,8.5,7,"Python, SQL",Health Insurance,3.7
Google,Data Analyst,Media,Remote,Part-time,Lead,Hybrid,107119.78,EUR,5.6,6,"Go, Kubernetes",Remote Stipend,0.42
Google,Software Engineer,Finance,Boston,Full-time,Entry,Hybrid,105329.21,GBP,7.3,8,"R, Tableau",Flexible Hours,1.08
Salesforce,Data Analyst,Healthcare,Seattle,Full-time,Senior,Onsite,145342.66,GBP,7.9,5,"Python, SQL",Health Insurance,1.98
IBM,Data Analyst,Tech,New York,Contract,Mid,Remote,159907.35,INR,4.9,1,"R, Tableau",Gym Membership,0.88
Tesla,Data Scientist,Media,New York,Contract,Entry,Hybrid,176499.94,USD,6.5,8,"Python, SQL",Flexible Hours,2.88
IBM,UX Designer,Media,Chicago,Internship,Senior,Remote,98855.49,INR,2.6,10,"R, Tableau",Flexible Hours,0.44
Microsoft,Software Engineer,Education,Remote,Internship,Entry,Hybrid,177989.15,INR,3.3,3,"Python, SQL",Remote Stipend,3.17
Salesforce,Data Scientist,Finance,Boston,Contract,Senior,Onsite,192897.97,EUR,3.5,3,"Java, Spring",Health Insurance,0.87
Amazon,DevOps Engineer,Tech,New York,Internship,Lead,Onsite,159179.12,GBP,10.2,10,"C#, .NET",Remote Stipend,1.62
Netflix,Software Engineer,Education,San Francisco,Internship,Lead,Onsite,81479.47,INR,8.9,6,"Go, Kubernetes",Stock Options,1.55
Adobe,Data Analyst,Tech,Austin,Contract,Entry,Onsite,176922.51,USD,9.2,9,"R, Tableau",Gym Membership,2.9
Google,UX Designer,Retail,Chicago,Part-time,Senior,Onsite,110856.93,EUR,14.4,8,"Python, SQL",Flexible Hours,4.91
Microsoft,Data Scientist,Media,New York,Full-time,Mid,Onsite,104418.91,GBP,7.9,10,"JavaScript, React",Flexible Hours,1.86
Meta,UX Designer,Education,Boston,Contract,Entry,Onsite,140041.91,USD,4.9,9,"C#, .NET",Gym Membership,1.42
IBM,Software Engineer,Healthcare,San Francisco,Part-time,Senior,Hybrid,194508.41,GBP,1.9,2,"Java, Spring",Remote Stipend,1.88
Netflix,Software Engineer,Media,Chicago,Full-time,Lead,Onsite,91510.78,INR,4.6,4,"Java, Spring",Gym Membership,0.96
Amazon,Software Engineer,Tech,Austin,Full-time,Entry,Onsite,87249.94,AUD,2.0,7,"JavaScript, React",Health Insurance,0.9
IBM,Software Engineer,Media,Seattle,Full-time,Lead,Hybrid,144981.7,EUR,14.5,10,"Java, Spring",Gym Membership,1.17
Apple,Product Manager,Education,Boston,Part-time,Senior,Onsite,191012.13,GBP,6.9,5,"R, Tableau",Remote Stipend,2.64
Amazon,Software Engineer,Retail,New York,Contract,Entry,Onsite,111700.41,INR,8.3,2,"C#, .NET",Remote Stipend,4.26
Meta,Data Analyst,Finance,Austin,Internship,Mid,Hybrid,45591.31,EUR,12.3,6,"Python, SQL",Gym Membership,0.27
Salesforce,Product Manager,Finance,Seattle,Full-time,Senior,Remote,34791.88,USD,12.6,6,"JavaScript, React",Health Insurance,0.19
Adobe,DevOps Engineer,Finance,Boston,Internship,Lead,Onsite,30892.7,USD,0.3,4,"JavaScript, React",Remote Stipend,4.7
IBM,Data Scientist,Education,San Francisco,Contract,Mid,Hybrid,50714.22,EUR,6.3,10,"R, Tableau",Stock Options,0.55
Adobe,Data Scientist,Retail,San Francisco,Part-time,Mid,Hybrid,102970.61,AUD,5.3,10,"R, Tableau",Health Insurance,3.32
Microsoft,Data Scientist,Healthcare,San Francisco,Full-time,Lead,Hybrid,37400.85,GBP,14.7,5,"C#, .NET",Stock Options,1.79
Microsoft,Product Manager,Finance,Chicago,Full-time,Senior,Remote,37537.07,AUD,5.1,3,"C#, .NET",Gym Membership,4.9
Adobe,DevOps Engineer,Finance,Boston,Part-time,Entry,Onsite,161952.37,GBP,0.6,4,"Python, SQL",Health Insurance,4.43
Netflix,Product Manager,Retail,Seattle,Internship,Senior,Remote,158059.46,EUR,4.3,1,"C#, .NET",Flexible Hours,1.37
Netflix,UX Designer,Education,Chicago,Internship,Lead,Hybrid,195533.01,GBP,10.4,6,"Go, Kubernetes",Flexible Hours,4.01
Tesla,Data Analyst,Education,Remote,Part-time,Senior,Hybrid,47441.64,INR,9.9,5,"R, Tableau",Remote Stipend,3.59
Amazon,DevOps Engineer,Education,Austin,Internship,Entry,Onsite,177906.32,INR,9.2,7,"Java, Spring",Stock Options,0.38
Tesla,Product Manager,Retail,Boston,Part-time,Entry,Remote,174273.78,GBP,0.5,2,"JavaScript, React",Flexible Hours,1.81
IBM,Data Analyst,Retail,New York,Internship,Senior,Hybrid,105469.68,USD,8.6,9,"Java, Spring",Gym Membership,1.57
Meta,Software Engineer,Tech,San Francisco,Part-time,Lead,Onsite,95787.85,AUD,1.8,5,"C#, .NET",Gym Membership,1.07
IBM,Product Manager,Media,Seattle,Part-time,Entry,Remote,174980.47,GBP,2.6,8,"Python, SQL",Flexible Hours,3.34
Microsoft,Data Scientist,Retail,Austin,Contract,Mid,Onsite,150625.84,EUR,11.9,9,"JavaScript, React",Stock Options,4.93
Amazon,Software Engineer,Education,San Francisco,Contract,Senior,Hybrid,166622.49,AUD,1.9,2,"Python, SQL",Flexible Hours,1.99
Adobe,Data Scientist,Education,Boston,Internship,Entry,Remote,195304.55,USD,6.7,9,"Java, Spring",Health Insurance,4.39
Salesforce,DevOps Engineer,Retail,New York,Part-time,Lead,Onsite,184821.09,USD,12.5,9,"JavaScript, React",Flexible Hours,0.82
Netflix,DevOps Engineer,Finance,Austin,Contract,Entry,Hybrid,63371.33,AUD,4.1,5,"Go, Kubernetes",Remote Stipend,0.47
Amazon,Data Scientist,Retail,New York,Part-time,Senior,Onsite,37003.03,USD,1.2,10,"Java, Spring",Health Insurance,3.83
Tesla,Data Scientist,Media,San Francisco,Internship,Senior,Onsite,192630.53,GBP,3.7,7,"Java, Spring",Gym Membership,0.36
Google,Software Engineer,Education,Seattle,Internship,Lead,Remote,87832.74,EUR,4.7,6,"C#, .NET",Flexible Hours,4.88
Amazon,Product Manager,Retail,Remote,Full-time,Senior,Remote,109300.34,INR,6.7,3,"Python, SQL",Stock Options,1.45
Tesla,Data Scientist,Education,New York,Part-time,Senior,Onsite,152591.83,EUR,11.4,8,"Go, Kubernetes",Gym Membership,2.49
Meta,UX Designer,Tech,San Francisco,Internship,Lead,Remote,66574.55,INR,0.7,5,"R, Tableau",Remote Stipend,4.41
Adobe,Product Manager,Retail,San Francisco,Full-time,Lead,Remote,180017.47,INR,11.5,6,"Python, SQL",Gym Membership,0.26
Salesforce,Software Engineer,Healthcare,Remote,Contract,Entry,Hybrid,115723.44,AUD,4.2,10,"C#, .NET",Remote Stipend,0.59
Microsoft,UX Designer,Healthcare,Boston,Contract,Senior,Remote,63839.84,AUD,6.0,1,"Python, SQL",Stock Options,0.69
Netflix,UX Designer,Retail,Seattle,Part-time,Mid,Hybrid,188332.69,INR,2.4,10,"C#, .NET",Flexible Hours,2.97
Salesforce,Data Scientist,Retail,Seattle,Contract,Lead,Remote,92620.83,USD,14.7,10,"Java, Spring",Stock Options,2.98
Meta,DevOps Engineer,Retail,Remote,Part-time,Entry,Onsite,111676.29,AUD,9.4,10,"R, Tableau",Health Insurance,4.11
Apple,Data Analyst,Retail,Chicago,Full-time,Mid,Remote,104976.56,GBP,2.3,4,"R, Tableau",Remote Stipend,3.87
Adobe,DevOps Engineer,Media,San Francisco,Part-time,Mid,Onsite,85258.42,GBP,7.9,6,"JavaScript, React",Gym Membership,4.56
Netflix,Data Scientist,Healthcare,Chicago,Contract,Lead,Remote,192747.36,INR,8.4,4,"Java, Spring",Flexible Hours,3.52
Adobe,Product Manager,Education,Austin,Contract,Senior,Remote,127491.06,AUD,5.7,7,"Java, Spring",Health Insurance,1.45
Meta,DevOps Engineer,Tech,Austin,Internship,Senior,Onsite,111443.47,EUR,12.4,5,"Go, Kubernetes",Flexible Hours,0.69
IBM,DevOps Engineer,Retail,New York,Part-time,Entry,Onsite,183881.31,EUR,9.6,1,"Python, SQL",Gym Membership,1.65
Adobe,Data Analyst,Media,Boston,Part-time,Entry,Onsite,196244.82,EUR,6.1,8,"R, Tableau",Health Insurance,3.78
Meta,Product Manager,Healthcare,Chicago,Full-time,Entry,Onsite,127602.67,AUD,11.1,1,"JavaScript, React",Gym Membership,4.41
Amazon,Data Analyst,Education,Boston,Internship,Mid,Onsite,193562.33,INR,13.2,1,"Java, Spring",Remote Stipend,3.01
Netflix,Product Manager,Education,Chicago,Internship,Mid,Onsite,109563.53,EUR,12.1,6,"JavaScript, React",Gym Membership,3.24
Amazon,Data Analyst,Media,Austin,Contract,Mid,Remote,133862.26,GBP,12.4,9,"Java, Spring",Stock Options,2.0
Microsoft,Software Engineer,Finance,Seattle,Contract,Mid,Remote,74333.5,EUR,6.7,5,"Java, Spring",Flexible Hours,2.91
