Company,Job Title,Industry,Location,Employment Type,Experience Level,Remote Flexibility,Salary (Annual),Currency,Years of Experience,Job Satisfaction Score (1-10),Tech Stack,Perks,Last Promotion (Years Ago)
Netflix,Software Engineer,Education,Chicago,Part-time,Mid,Remote,67533.95,INR,2.9,3,"C#, .NET",Remote Stipend,4.26
Salesforce,UX Designer,Media,Remote,Full-time,Senior,Onsite,41451.67,USD,3.0,10,"R, Tableau",Flexible Hours,1.79
Apple,Data Analyst,Healthcare,Remote,Full-time,Mid,Hybrid,112596.41,INR,9.2,5,"C#, .NET",Remote Stipend,0.76
IBM,Product Manager,Healthcare,Seattle,Part-time,Entry,Hybrid,71849.77,EUR,10.7,7,"Java, Spring",Flexible Hours,0.67
Netflix,UX Designer,Education,Seattle,Contract,Senior,Hybrid,123784.21,EUR,9.7,2,"Java, Spring",Health Insurance,4.46
Apple,Product Manager,Media,Chicago,Full-time,Entry,Remote,174429.84,USD,12.2,10,"R, Tableau",Remote Stipend,1.06
Google,Data Scientist,Healthcare,Remote,Internship,Mid,Hybrid,96724.72,AUD,11.0,5,"JavaScript, React",Gym Membership,2.51
Microsoft,UX Designer,Healthcare,Remote,Full-time,Mid,Onsite,146307.48,AUD,2.1,3,"JavaScript, React",Remote Stipend,4.74
Amazon,DevOps Engineer,Media,Seattle,Contract,Entry,Remote,159450.3,EUR,0.9,6,"JavaScript, React",Stock Options,3.34
Salesforce,Product Manager,Education,Seattle,Internship,Entry,Remote,196700.26,INR,1.5,9,"C#, .NET",Flexible Hours,4.17
Meta,Data Scientist,Retail,Remote,Part-time,Lead,Onsite,94348.15,AUD,9.8,2,"Go, Kubernetes",Flexible Hours,1.88
Apple,Data Scientist,Education,Austin,Contract,Lead,Hybrid,180819.23,USD,7.5,3,"R, Tableau",Health Insurance,1.15
Salesforce,DevOps Engineer,Healthcare,New York,Part-time,Mid,Remote,91577.9,USD,9.9,7,"Java, Spring",Stock Options,2.41
Adobe,UX Designer,Finance,Remote,Part-time,Lead,Remote,71423.95,EUR,8.6,3,"JavaScript, React",Remote Stipend,0.2
IBM,Software Engineer,Tech,New York,Contract,Mid,Onsite,192900.52,AUD,14.5,1,"C#, .NET",Flexible Hours,4.74
Apple,UX Designer,Retail,Seattle,Internship,Mid,Remote,171161.81,AUD,2.1,10,"JavaScript, React",Remote Stipend,3.3
Meta,Software Engineer,Media,Chicago,Contract,Lead,Onsite,130401.32,EUR,5.7,3,"Python, SQL",Stock Options,1.01
Salesforce,DevOps Engineer,Education,Boston,Part-time,Entry,Remote,110897.76,AUD,9.0,9,"Go, Kubernetes",Stock Options,0.47
Amazon,Data Scientist,Retail,Boston,Full-time,Lead,Onsite,101516.28,USD,10.5,7,"JavaScript, React",Gym Membership,3.95
Tesla,Product Manager,Retail,Boston,Full-time,Lead,Remote,73268.06,EUR,13.7,2,"Java, Spring",Remote Stipend,4.38
Tesla,Product Manager,Finance,San Francisco,Full-time,Entry,Onsite,31222.99,EUR,10.3,6,"R, Tableau",Flexible Hours,0.53
Tesla,DevOps Engineer,Retail,Austin,Contract,Lead,Onsite,92159.5,INR,14.9,7,"JavaScript, React",Gym Membership,2.76
Salesforce,UX Designer,Finance,Austin,Internship,Senior,Hybrid,128200.7,GBP,11.0,2,"C#, .NET",Health Insurance,2.23
Amazon,Data Analyst,Finance,Remote,Internship,Senior,Onsite,134384.31,USD,2.4,1,"Python, SQL",Health Insurance,2.36
IBM,UX Designer,Tech,San Francisco,Contract,Mid,Hybrid,43606.76,USD,10.9,7,"Go, Kubernetes",Remote Stipend,1.43
IBM,Data Analyst,Finance,Chicago,Internship,Lead,Remote,64290.23,AUD,4.3,1,"Go, Kubernetes",Remote Stipend,2.58
Apple,Data Scientist,Finance,Chicago,Full-time,Senior,Remote,141353.25,EUR,1.3,5,"R, Tableau",Flexible Hours,3.35
Tesla,Data Scientist,Finance,Remote,Full-time,Entry,Remote,123430.75,AUD,13.7,6,"Java, Spring",Flexible Hours,1.13
Apple,UX Designer,Education,Remote,Full-time,Senior,Remote,99212.89,USD,8.4,9,"Java, Spring",Flexible Hours,4.74
Salesforce,Product Manager,Retail,Boston,Contract,Lead,Hybrid,125738.66,EUR,11.4,8,"C#, .NET",Gym Membership,4.48
Google,UX Designer,Tech,Austin,Full-time,Lead,Onsite,164071.52,EUR,10.2,4,"Java, Spring",Gym Membership,4.78
Salesforce,Data Scientist,Tech,Chicago,Contract,Mid,Hybrid,45811.6,INR,1.1,3,"R, Tableau",Flexible Hours,1.77
IBM,Product Manager,Finance,Chicago,Part-time,Lead,Onsite,63943.31,EUR,13.1,4,"JavaScript, React",Health Insurance,4.17
IBM,Product Manager,Finance,Boston,Full-time,Entry,Remote,144888.06,GBP,9.2,9,"Python, SQL",Gym Membership,1.86
Netflix,UX Designer,Retail,Boston,Contract,Lead,Remote,197347.1,AUD,4.2,4,"Go, Kubernetes",Health Insurance,0.27
Tesla,UX Designer,Retail,San Francisco,Contract,Lead,Onsite,161903.67,GBP,14.6,9,"R, Tableau",Flexible Hours,3.45
Google,DevOps Engineer,Finance,Seattle,Full-time,Senior,Hybrid,134172.28,INR,2.8,5,"JavaScript, React",Flexible Hours,2.36
IBM,Product Manager,Healthcare,New York,Internship,Lead,Remote,101245.8,INR,5.5,7,"Java, Spring",Gym Membership,0.9
Amazon,Data Scientist,Media,New York,Full-time,Senior,Remote,124407.81,GBP,2.9,3,"R, Tableau",Stock Options,0.88
Adobe,Software Engineer,Media,Remote,Contract,Lead,Hybrid,72665.59,AUD,0.7,2,"C#, .NET",Health Insurance,0.3
Meta,UX Designer,Media,San Francisco,Internship,Senior,Hybrid,91363.54,AUD,8.4,5,"Java, Spring",Stock Options,2.06
Netflix,DevOps Engineer,Retail,New York,Part-time,Senior,Hybrid,85265.35,AUD,7.3,8,"Python, SQL",Gym Membership,3.07
Adobe,DevOps Engineer,Finance,Boston,Part-time,Senior,Hybrid,137316.48,AUD,6.1,2,"Python, SQL",Health Insurance,1.72
Netflix,Product Manager,Media,Austin,Contract,Lead,Hybrid,180907.61,INR,11.2,9,"R, Tableau",Gym Membership,0.84
Google,Software Engineer,Media,New York,Contract,Entry,Remote,58374.78,USD,1.4,8,"Go, Kubernetes",Stock Options,0.13
Tesla,Data Scientist,Tech,San Francisco,Contract,Mid,Remote,141321.55,GBP,4.6,4,"C#, .NET",Flexible Hours,2.22
Amazon,Software Engineer,Retail,Boston,Part-time,Entry,Remote,142803.35,INR,13.0,8,"Go, Kubernetes",Flexible Hours,2.74
Amazon,DevOps Engineer,Retail,New York,Internship,Lead,Onsite,138763.71,AUD,4.6,6,"R, Tableau",Remote Stipend,1.14
Microsoft,UX Designer,Healthcare,Austin,Internship,Senior,Remote,81607.4,USD,7.8,3,"Java, Spring",Flexible Hours,2.35
Google,DevOps Engineer,Education,Boston,Internship,Senior,Remote,160197.76,INR,9.0,1,"Go, Kubernetes",Flexible Hours,0.94
Salesforce,UX Designer,Education,New York,Part-time,Lead,Hybrid,67500.71,USD,6.3,4,"Go, Kubernetes",Remote Stipend,4.04
Meta,Product Manager,Media,Chicago,Contract,Lead,Remote,175091.94,EUR,2.0,2,"C#, .NET",Gym Membership,3.09
Meta,DevOps Engineer,Retail,Seattle,Part-time,Senior,Remote,55865.38,AUD,0.3,2,"Java, Spring",Flexible Hours,0.63
Adobe,DevOps Engineer,Tech,New York,Full-time,Mid,Remote,113908.52,INR,6.3,8,"Java, Spring",Gym Membership,3.48
Google,Product Manager,Tech,Boston,Part-time,Entry,Hybrid,161860.99,USD,8.1,3,"JavaScript, React",Flexible Hours,4.09
Google,Data Analyst,Media,New York,Internship,Lead,Remote,155395.23,USD,3.0,2,"Go, Kubernetes",Health Insurance,2.36
Meta,Product Manager,Finance,Chicago,Full-time,Entry,Hybrid,111809.03,INR,3.0,1,"C#, .NET",Health Insurance,4.87
Apple,DevOps Engineer,Education,Austin,Full-time,Mid,Hybrid,129398.47,GBP,11.8,1,"Python, SQL",Remote Stipend,3.92
Adobe,DevOps Engineer,Retail,New York,Contract,Entry,Remote,56808.74,USD,10.3,6,"C#, .NET",Stock Options,0.3
Amazon,DevOps Engineer,Retail,Boston,Full-time,Mid,Hybrid,69554.69,AUD,11.8,6,"R, Tableau",Health Insurance,0.11
Tesla,Product Manager,Media,New York,Contract,Entry,Hybrid,150126.42,AUD,4.4,8,"JavaScript, React",Remote Stipend,0.93
Netflix,Product Manager,Media,Seattle,Contract,Mid,Remote,120293.36,GBP,4.4,5,"Go, Kubernetes",Flexible Hours,2.27
Salesforce,UX Designer,Media,New York,Full-time,Senior,Onsite,70593.71,USD,9.9,9,"R, Tableau",Health Insurance,2.62
Adobe,Data Scientist,Finance,Remote,Contract,Senior,Hybrid,138953.67,USD,1.4,2,"Python, SQL",Health Insurance,0.89
Google,Software Engineer,Tech,Seattle,Part-time,Entry,Remote,127072.07,GBP,9.9,9,"Go, Kubernetes",Remote Stipend,1.28
Netflix,Software Engineer,Retail,Chicago,Full-time,Entry,Remote,141477.39,USD,7.0,1,"Java, Spring",Remote Stipend,3.72
Tesla,Product Manager,Media,San Francisco,Contract,Entry,Onsite,41965.98,INR,1.2,4,"Go, Kubernetes",Stock Options,0.51
Apple,Data Scientist,Education,New York,Part-time,Mid,Onsite,136305.26,EUR,8.4,9,"R, Tableau",Stock Options,3.83
IBM,Product Manager,Media,Seattle,Internship,Entry,Remote,164718.47,AUD,6.0,6,"C#, .NET",Health Insurance,2.67
IBM,UX Designer,Healthcare,Austin,Contract,Senior,Hybrid,159911.34,GBP,12.4,6,"Go, Kubernetes",Health Insurance,2.82
Apple,UX Designer,Retail,Chicago,Contract,Senior,Hybrid,106074.96,GBP,0.0,1,"Java, Spring",Remote Stipend,0.08
Amazon,Product Manager,Tech,Austin,Part-time,Mid,Hybrid,33689.23,INR,13.8,9,"Go, Kubernetes",Remote Stipend,4.63
Amazon,Data Analyst,Tech,Seattle,Contract,Mid,Remote,75047.99,AUD,3.7,5,"Java, Spring",Stock Options,2.85
IBM,Software Engineer,Media,San Francisco,Contract,Lead,Remote,113006.99,AUD,12.3,2,"Go, Kubernetes",Flexible Hours,0.19
IBM,UX Designer,Tech,Boston,Full-time,Senior,Hybrid,179564.73,GBP,6.2,2,"JavaScript, React",Remote Stipend,4.64
Tesla,Data Analyst,Healthcare,Remote,Full-time,Senior,Onsite,126035.19,INR,7.5,4,"JavaScript, React",Stock Options,3.37
Tesla,UX Designer,Retail,Remote,Full-time,Mid,Hybrid,79263.11,GBP,2.2,6,"Python, SQL",Gym Membership,2.86
Google,Data Scientist,Education,Austin,Full-time,Lead,Onsite,103863.49,EUR,11.4,8,"Go, Kubernetes",Health Insurance,2.44
IBM,Software Engineer,Retail,Remote,Part-time,Mid,Remote,75263.71,GBP,4.9,10,"Python, SQL",Stock Options,3.36
Tesla,Product Manager,Healthcare,New York,Contract,Senior,Onsite,141419.68,INR,2.5,6,"Go, Kubernetes",Gym Membership,3.12
Adobe,Data Analyst,Finance,New York,Contract,Mid,Onsite,174969.9,USD,11.1,4,"Go, Kubernetes",Health Insurance,4.34
Meta,Data Analyst,Healthcare,Chicago,Full-time,Senior,Hybrid,110102.35,INR,3.1,9,"JavaScript, React",Health Insurance,2.73
Meta,Data Scientist,Education,Remote,Part-time,Entry,Hybrid,129110.84,AUD,0.7,3,"Python, SQL",Flexible Hours,1.0
IBM,Product Manager,Tech,Seattle,Full-time,Entry,Hybrid,142263.38,INR,13.0,1,"Java, Spring",Gym Membership,1.16
Tesla,Data Scientist,Media,San Francisco,Contract,Lead,Onsite,120365.31,EUR,3.0,8,"Go, Kubernetes",Stock Options,0.2
Salesforce,Product Manager,Healthcare,Seattle,Internship,Mid,Remote,88952.58,INR,5.3,5,"JavaScript, React",Remote Stipend,1.38
Google,DevOps Engineer,Healthcare,Seattle,Full-time,Senior,Remote,55790.39,GBP,9.9,2,"C#, .NET",Gym Membership,2.6
IBM,DevOps Engineer,Media,New York,Internship,Mid,Onsite,55967.36,INR,13.6,6,"R, Tableau",Remote Stipend,0.66
Amazon,Data Scientist,Retail,Chicago,Part-time,Mid,Hybrid,147050.46,AUD,13.6,7,"JavaScript, React",Remote Stipend,4.59
Netflix,Data Analyst,Retail,Remote,Full-time,Mid,Hybrid,172718.83,EUR,10.9,6,"R, Tableau",Gym Membership,1.52
Meta,Software Engineer,Finance,San Francisco,Part-time,Mid,Remote,159616.07,AUD,9.3,10,"Go, Kubernetes",Remote Stipend,1.15
Apple,Software Engineer,Media,San Francisco,Contract,Entry,Onsite,162570.46,EUR,7.5,10,"R, Tableau",Flexible Hours,0.92
Tesla,UX Designer,Education,New York,Part-time,Mid,Remote,35479.02,USD,13.9,7,"JavaScript, React",Health Insurance,3.79
Microsoft,Software Engineer,Education,Boston,Internship,Senior,Hybrid,180889.78,GBP,6.1,1,"Go, Kubernetes",Gym Membership,3.6
Tesla,Data Scientist,Media,Remote,Full-time,Entry,Hybrid,107673.07,USD,13.2,4,"Go, Kubernetes",Remote Stipend,1.98
Google,Data Scientist,Education,Remote,Full-time,Mid,Hybrid,104724.16,INR,11.6,5,"R, Tableau",Health Insurance,2.11
IBM,Data Analyst,Media,Remote,Part-time,Lead,Onsite,106788.67,AUD,1.7,10,"C#, .NET",Remote Stipend,0.68
Tesla,Product Manager,Education,San Francisco,Part-time,Lead,Onsite,182424.98,EUR,13.2,2,"Java, Spring",Flexible Hours,3.46
Amazon,DevOps Engineer,Media,San Francisco,Full-time,Entry,Onsite,106397.73,INR,1.3,7,"C#, .NET",Remote Stipend,3.06
Amazon,UX Designer,Retail,Seattle,Full-time,Mid,Hybrid,126133.57,EUR,2.4,3,"JavaScript, React",Stock Options,2.1
Meta,DevOps Engineer,Education,Austin,Part-time,Entry,Remote,193273.76,USD,9.3,5,"Python, SQL",Gym Membership,2.49
Adobe,Data Scientist,Tech,Remote,Internship,Mid,Remote,130106.6,GBP,6.8,8,"Python, SQL",Remote Stipend,3.0
Apple,Data Scientist,Healthcare,Remote,Part-time,Entry,Remote,55203.55,INR,0.6,1,"C#, .NET",Remote Stipend,4.19
Meta,Product Manager,Tech,San Francisco,Full-time,Lead,Remote,57426.99,INR,9.2,10,"Go, Kubernetes",Remote Stipend,0.89
Adobe,DevOps Engineer,Retail,Austin,Full-time,Entry,Hybrid,84879.71,GBP,12.3,7,"Go, Kubernetes",Stock Options,1.46
Amazon,Data Analyst,Media,Boston,Contract,Senior,Onsite,100338.84,EUR,10.4,10,"Python, SQL",Stock Options,2.86
Salesforce,Data Analyst,Education,Chicago,Contract,Lead,Onsite,174125.65,INR,7.9,10,"Java, Spring",Health Insurance,3.07
Adobe,Data Scientist,Media,Chicago,Internship,Lead,Remote,180222.83,EUR,10.6,4,"Python, SQL",Stock Options,0.12
Microsoft,DevOps Engineer,Finance,Boston,Internship,Lead,Remote,86744.68,AUD,12.1,4,"Python, SQL",Health Insurance,3.45
Meta,Data Analyst,Healthcare,Austin,Contract,Entry,Remote,146592.08,INR,5.9,10,"Go, Kubernetes",Stock Options,4.16
Apple,Product Manager,Healthcare,Chicago,Internship,Lead,Remote,139760.88,GBP,2.3,8,"Go, Kubernetes",Flexible Hours,2.31
Tesla,DevOps Engineer,Tech,Boston,Contract,Senior,Onsite,121100.53,EUR,8.7,6,"Java, Spring",Stock Options,4.85
Meta,Data Analyst,Healthcare,Seattle,Part-time,Lead,Remote,131182.62,INR,10.6,6,"C#, .NET",Stock Options,1.36
Microsoft,UX Designer,Finance,Austin,Internship,Senior,Remote,119267.07,EUR,1.7,1,"JavaScript, React",Stock Options,2.22
Google,UX Designer,Retail,New York,Part-time,Senior,Hybrid,154514.98,AUD,4.7,6,"JavaScript, React",Stock Options,4.11
Salesforce,DevOps Engineer,Finance,New York,Full-time,Lead,Hybrid,151325.16,AUD,1.7,5,"Python, SQL",Remote Stipend,4.36
Netflix,UX Designer,Tech,San Francisco,Contract,Entry,Onsite,158943.95,EUR,4.8,4,"Java, Spring",Flexible Hours,2.66
Adobe,DevOps Engineer,Tech,Austin,Part-time,Mid,Hybrid,49458.27,AUD,8.4,2,"JavaScript, React",Remote Stipend,1.75
Netflix,Product Manager,Finance,Chicago,Contract,Mid,Remote,42111.29,AUD,13.4,9,"R, Tableau",Stock Options,0.65
Adobe,DevOps Engineer,Tech,San Francisco,Internship,Entry,Remote,102499.18,EUR,10.6,10,"C#, .NET",Gym Membership,3.08
Meta,Product Manager,Finance,Chicago,Full-time,Lead,Onsite,52405.2,GBP,1.5,5,"C#, .NET",Gym Membership,2.35
Apple,Software Engineer,Retail,Austin,Contract,Lead,Remote,148934.49,INR,11.8,6,"R, Tableau",Gym Membership,0.15
Adobe,Data Analyst,Healthcare,Seattle,Internship,Mid,Hybrid,160550.06,AUD,8.6,9,"Python, SQL",Gym Membership,4.09
Microsoft,Product Manager,Retail,Chicago,Full-time,Senior,Onsite,108365.72,AUD,6.2,10,"JavaScript, React",Remote Stipend,0.8
Adobe,UX Designer,Tech,Austin,Part-time,Lead,Hybrid,126425.9,INR,8.2,4,"JavaScript, React",Stock Options,3.7
IBM,UX Designer,Tech,Remote,Internship,Senior,Onsite,46601.16,GBP,2.6,7,"Python, SQL",Remote Stipend,0.54
IBM,UX Designer,Healthcare,Seattle,Full-time,Entry,Remote,168895.71,AUD,13.5,1,"JavaScript, React",Health Insurance,2.26
Meta,UX Designer,Retail,Remote,Internship,Mid,Remote,145857.85,INR,4.5,5,"R, Tableau",Flexible Hours,4.95
IBM,Data Analyst,Retail,Remote,Internship,Mid,Hybrid,40609.79,AUD,14.5,1,"C#, .NET",Remote Stipend,4.1
Netflix,Data Analyst,Healthcare,Boston,Full-time,Mid,Hybrid,149377.72,GBP,9.4,7,"R, Tableau",Gym Membership,2.18
Apple,DevOps Engineer,Finance,Seattle,Part-time,Mid,Onsite,95381.16,INR,12.6,3,"Java, Spring",Health Insurance,0.67
Microsoft,DevOps Engineer,Tech,New York,Internship,Lead,Remote,44392.79,GBP,12.9,10,"R, Tableau",Remote Stipend,0.9
Salesforce,UX Designer,Retail,Boston,Internship,Lead,Hybrid,68375.96,GBP,9.1,10,"R, Tableau",Health Insurance,3.56
Meta,UX Designer,Retail,Remote,Contract,Entry,Remote,126585.43,INR,1.7,8,"C#, .NET",Stock Options,0.71
Salesforce,Product Manager,Education,Remote,Full-time,Entry,Remote,110316.77,USD,10.3,9,"Go, Kubernetes",Flexible Hours,3.07
Netflix,Data Scientist,Tech,Seattle,Internship,Lead,Onsite,154748.47,GBP,5.3,5,"Java, Spring",Health Insurance,0.18
IBM,DevOps Engineer,Healthcare,Chicago,Contract,Entry,Onsite,110437.29,EUR,8.6,5,"C#, .NET",Remote Stipend,0.14
Adobe,Data Analyst,Finance,Remote,Full-time,Senior,Hybrid,52531.59,INR,4.1,5,"Python, SQL",Stock Options,3.02
IBM,DevOps Engineer,Finance,Chicago,Internship,Senior,Remote,74412.94,EUR,7.3,9,"Python, SQL",Flexible Hours,4.92
Amazon,Data Scientist,Finance,Boston,Internship,Lead,Hybrid,70451.06,GBP,10.9,3,"JavaScript, React",Remote Stipend,3.67
Netflix,Data Analyst,Media,Austin,Full-time,Entry,Remote,108882.54,GBP,4.5,9,"JavaScript, React",Gym Membership,3.42
Tesla,UX Designer,Healthcare,New York,Internship,Entry,Hybrid,187627.83,GBP,5.7,6,"Go, Kubernetes",Stock Options,0.49
Salesforce,DevOps Engineer,Healthcare,Boston,Internship,Senior,Hybrid,75955.44,USD,3.8,10,"R, Tableau",Gym Membership,3.87
Apple,DevOps Engineer,Media,Remote,Part-time,Senior,Onsite,147347.32,EUR,4.7,1,"C#, .NET",Stock Options,4.16
Google,UX Designer,Tech,Remote,Full-time,Lead,Hybrid,67300.78,INR,3.8,1,"Python, SQL",Remote Stipend,0.46
IBM,DevOps Engineer,Finance,Remote,Full-time,Entry,Remote,175594.94,EUR,5.6,10,"JavaScript, React",Stock Options,3.48
Meta,Product Manager,Education,Chicago,Full-time,Lead,Hybrid,160791.05,INR,3.9,2,"Java, Spring",Stock Options,1.91
Netflix,Data Analyst,Healthcare,Boston,Contract,Mid,Hybrid,41797.74,EUR,9.2,3,"C#, .NET",Gym Membership,0.54
Salesforce,UX Designer,Finance,Remote,Full-time,Lead,Onsite,74029.36,USD,1.1,10,"C#, .NET",Flexible Hours,3.89
Google,UX Designer,Finance,Chicago,Full-time,Entry,Onsite,96382.25,EUR,10.5,7,"Go, Kubernetes",Stock Options,2.58
Adobe,UX Designer,Education,Seattle,Full-time,Mid,Remote,95352.06,GBP,1.8,9,"Java, Spring",Flexible Hours,3.41
Tesla,Data Analyst,Media,Chicago,Full-time,Senior,Onsite,175068.15,INR,1.2,8,"Java, Spring",Health Insurance,0.88
Google,UX Designer,Media,New York,Contract,Lead,Remote,137204.9,INR,7.3,8,"C#, .NET",Health Insurance,0.7
Apple,Data Analyst,Media,Remote,Part-time,Lead,Hybrid,40708.75,AUD,9.7,8,"Go, Kubernetes",Gym Membership,4.83
Google,Data Analyst,Healthcare,San Francisco,Contract,Entry,Hybrid,50091.81,AUD,6.9,9,"JavaScript, React",Remote Stipend,1.16
Microsoft,Data Analyst,Media,New York,Internship,Entry,Hybrid,184220.41,AUD,0.7,3,"Python, SQL",Health Insurance,3.16
Meta,Data Analyst,Education,Remote,Part-time,Entry,Remote,49410.55,AUD,12.0,4,"Python, SQL",Health Insurance,2.13
Tesla,Product Manager,Tech,Chicago,Part-time,Senior,Remote,159918.74,AUD,2.6,2,"Python, SQL",Flexible Hours,0.71
Tesla,Software Engineer,Media,Austin,Part-time,Lead,Remote,187364.84,USD,2.0,10,"R, Tableau",Health Insurance,0.08
Adobe,Data Analyst,Tech,San Francisco,Part-time,Entry,Onsite,140798.48,INR,6.2,8,"C#, .NET",Health Insurance,1.03
Meta,Data Scientist,Education,Seattle,Part-time,Mid,Onsite,147584.51,AUD,2.7,8,"Go, Kubernetes",Stock Options,3.14
Meta,Product Manager,Education,San Francisco,Part-time,Mid,Remote,197722.6,USD,9.3,9,"Go, Kubernetes",Health Insurance,2.32
Apple,Product Manager,Tech,New York,Full-time,Mid,Onsite,173442.89,GBP,7.5,3,"C#, .NET",Stock Options,0.27
Netflix,Product Manager,Finance,Seattle,Contract,Senior,Onsite,166876.12,GBP,0.6,1,"Go, Kubernetes",Health Insurance,0.79
Google,UX Designer,Retail,San Francisco,Full-time,Mid,Onsite,105619.55,AUD,4.9,4,"C#, .NET",Flexible Hours,1.15
Microsoft,Product Manager,Finance,San Francisco,Part-time,Lead,Remote,93840.51,EUR,1.1,10,"R, Tableau",Stock Options,4.45
Amazon,Software Engineer,Retail,Seattle,Part-time,Lead,Hybrid,53188.78,EUR,9.5,5,"JavaScript, React",Flexible Hours,0.64
IBM,Data Analyst,Healthcare,New York,Full-time,Lead,Hybrid,101098.05,INR,3.3,5,"Go, Kubernetes",Health Insurance,3.95
IBM,Software Engineer,Retail,Remote,Part-time,Entry,Hybrid,175685.54,GBP,12.9,4,"Go, Kubernetes",Gym Membership,4.18
